"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Glenfarclas 40yo","9.3","0.33","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 49)","9.25","0.08","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig 25yo","9.21","0.3","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 25yo","9.2","0.25","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.19","0.15","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.19","0.33","13","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 18yo","9.17","0.26","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.15","0.06","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 40)","9.15","0.19","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 16yo Odin","9.15","0.3","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.12","0.24","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (all four batches)","9.07","0.18","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 40yo","9.07","0.39","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1509 (both batches)","9.06","0.24","8","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park 30yo","9.06","0.42","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.05","0.24","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15 Laimrig","9.05","0.18","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 36)","9.04","0.51","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","9.03","0.32","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
