NAME,TYPE,URL,CITY,STATE,COUNTRY,SHIPPING_COST,ADDITIONAL_COST
Ace Spirits,Web,http://www.acespirits.com,Hopkins,MN,USA,,
The Whisky Exchange,Web,http://www.thewhiskyexchange.com,London,,UK,,
Quality Liquore Store,Web,http://www.qualityliquorstore.com,San Diego,CA,USA,,
Whiskey Shop USA,Web,http://www.whiskyshopusa.com,San Fransisco,CA,USA,,
Astor Wines and Spirits,Web,http://www.astorwines.com/,New York,NY,USA,,
Beltramos,Web,https://www.beltramos.com/spirits/Single-Malt-Scotch?page=1&varietal=Single+Malt+Scotch&sortby=winery&l=200,Menlo Park,CA,USA,,
Binnys,Web,http://www.binnys.com/spirits//1/5866/1000,Chicago,IL,USA,,
Liquorama,Web,http://www.liquorama.net/single-malt-scotch-whisky/,Upland,CA,USA,,
DrinkUpNy,Web,https://www.drinkupny.com/single-malt-scotch-whisky-s/77.htm?searching=Y&sort=9&cat=77&show=500,Brooklyn,NY,USA,,
Pacific Online Spirits,Web,http://pacificonlinespirits.com/scotch-whisky.aspx,San Diego,CA,USA,0,0
Hi-Time Wine,Web,http://www.hitimewine.net/SCOTCH/?objects_per_page=500,Costa Mesa,CA,USA,15,0
K&L Wines,Web,http://www.klwines.com/Products/r?s=1536BC7C73ED&d=37&r=58%2B4294967193&z=False&o=8&displayCount=500,Redwood City,CA,USA,12.32,0
San Fransisco Wine Trading Company,Web,https://www.sfwtc.com/spirits/?page=1&varietal=Single+Malt+Scotch+Whisky&sortby=winery&l=100,San Fransisco,CA,USA,,
Ultimate Wine Shop,Web,https://www.ultimatewineshop.com/websearch_results.html?page=1&country=Scotland&sortby=sort_item_order&l=100,,,USA,12.00
Wine and Cheese Place,Web,http://www.wineandcheeseplace.com/cart.php?target=category&category_id=65,Clayton,MO,USA,,
Star Wine,Web,http://starwine.com/main.asp?request=TYPEPAGE&sel_category=17&type=L& Blendeds included,Monroe,NY,USA,,
Love Scotch,Web,http://www.lovescotch.com/scotch/single-malts/,,,,,
D&M,Web,http://dandm.com/scotch-whisky/our-single-malt-scotch-selection.html,San Fransisco,CA,USA,,
Caskers,Web,https://www.caskers.com/spirits/whiskey/scotch/?origin=1554,New York City,NY,USA,,
